data,produto,ano,mes,periodo_mes,dia_da_semana,preco_concorrente,preco_praticado,historico_vendas_7d,historico_vendas_30d,estoque,demanda
2023-01-01,Vergalhão de Aço,2023,1,Inicio_Mes,6,54.54,59.53,180.0,180.0,1408,43
2023-01-02,Vergalhão de Aço,2023,1,Inicio_Mes,0,53.84,46.8,180.0,180.0,1769,302
2023-01-03,Vergalhão de Aço,2023,1,Inicio_Mes,1,55.89,47.89,180.0,180.0,1909,325
2023-01-04,Vergalhão de Aço,2023,1,Inicio_Mes,2,53.76,48.92,180.0,180.0,847,267
2023-01-05,Vergalhão de Aço,2023,1,Inicio_Mes,3,54.62,54.21,180.0,180.0,993,154
2023-01-06,Vergalhão de Aço,2023,1,Inicio_Mes,4,53.35,50.49,180.0,180.0,1094,206
2023-01-07,Vergalhão de Aço,2023,1,Inicio_Mes,5,56.12,51.4,180.0,180.0,1294,80
2023-01-08,Vergalhão de Aço,2023,1,Inicio_Mes,6,54.04,56.77,196.7,180.0,830,51
2023-01-09,Vergalhão de Aço,2023,1,Inicio_Mes,0,54.06,58.16,197.9,180.0,1194,142
2023-01-10,Vergalhão de Aço,2023,1,Inicio_Mes,1,54.78,47.18,175.0,180.0,1827,304
2023-01-11,Vergalhão de Aço,2023,1,Meio_Mes,2,55.77,53.14,172.0,180.0,1302,162
2023-01-12,Vergalhão de Aço,2023,1,Meio_Mes,3,53.53,62.63,157.0,180.0,1646,72
2023-01-13,Vergalhão de Aço,2023,1,Meio_Mes,4,55.85,49.1,145.3,180.0,864,200
2023-01-14,Vergalhão de Aço,2023,1,Meio_Mes,5,55.01,53.81,144.4,180.0,966,48
2023-01-15,Vergalhão de Aço,2023,1,Meio_Mes,6,54.72,51.59,139.9,180.0,1332,67
2023-01-16,Vergalhão de Aço,2023,1,Meio_Mes,0,55.64,48.66,142.1,180.0,1932,226
2023-01-17,Vergalhão de Aço,2023,1,Meio_Mes,1,54.64,46.54,154.1,180.0,1700,255
2023-01-18,Vergalhão de Aço,2023,1,Meio_Mes,2,56.56,62.47,147.1,180.0,699,107
2023-01-19,Vergalhão de Aço,2023,1,Meio_Mes,3,54.62,61.98,139.3,180.0,1441,76
2023-01-20,Vergalhão de Aço,2023,1,Meio_Mes,4,55.08,52.47,139.9,180.0,1038,151
2023-01-21,Vergalhão de Aço,2023,1,Fim_Mes,5,56.55,64.62,132.9,180.0,1237,35
2023-01-22,Vergalhão de Aço,2023,1,Fim_Mes,6,56.13,61.8,131.0,180.0,1357,20
2023-01-23,Vergalhão de Aço,2023,1,Fim_Mes,0,55.77,57.02,124.3,180.0,1177,122
2023-01-24,Vergalhão de Aço,2023,1,Fim_Mes,1,55.97,53.38,109.4,180.0,1286,136
2023-01-25,Vergalhão de Aço,2023,1,Fim_Mes,2,55.7,54.89,92.4,180.0,1619,127
2023-01-26,Vergalhão de Aço,2023,1,Fim_Mes,3,55.13,63.77,95.3,180.0,1690,54
2023-01-27,Vergalhão de Aço,2023,1,Fim_Mes,4,57.05,63.62,92.1,180.0,851,71
2023-01-28,Vergalhão de Aço,2023,1,Fim_Mes,5,56.22,62.77,80.7,180.0,1809,33
2023-01-29,Vergalhão de Aço,2023,1,Fim_Mes,6,55.41,51.27,80.4,180.0,1176,46
2023-01-30,Vergalhão de Aço,2023,1,Fim_Mes,0,56.54,48.19,84.1,180.0,1289,201
2023-01-31,Vergalhão de Aço,2023,1,Fim_Mes,1,54.74,48.69,95.4,136.1,1055,170
2023-02-01,Vergalhão de Aço,2023,2,Inicio_Mes,2,56.15,57.34,100.3,140.3,1549,193
2023-02-02,Vergalhão de Aço,2023,2,Inicio_Mes,3,56.64,66.13,109.7,136.7,939,97
2023-02-03,Vergalhão de Aço,2023,2,Inicio_Mes,4,54.33,51.29,115.9,129.1,649,214
2023-02-04,Vergalhão de Aço,2023,2,Inicio_Mes,5,56.51,48.99,136.3,127.3,976,127
2023-02-05,Vergalhão de Aço,2023,2,Inicio_Mes,6,56.27,50.52,149.7,126.4,1260,97
2023-02-06,Vergalhão de Aço,2023,2,Inicio_Mes,0,57.75,53.62,157.0,122.8,1583,270
2023-02-07,Vergalhão de Aço,2023,2,Inicio_Mes,1,58.06,61.49,166.9,129.1,1323,152
2023-02-08,Vergalhão de Aço,2023,2,Inicio_Mes,2,55.51,47.93,164.3,132.5,1397,328
2023-02-09,Vergalhão de Aço,2023,2,Inicio_Mes,3,54.93,58.39,183.6,138.7,835,143
2023-02-10,Vergalhão de Aço,2023,2,Inicio_Mes,4,55.63,64.48,190.1,133.3,785,114
2023-02-11,Vergalhão de Aço,2023,2,Meio_Mes,5,55.8,64.46,175.9,131.7,1784,26
2023-02-12,Vergalhão de Aço,2023,2,Meio_Mes,6,57.54,64.43,161.4,130.2,1349,22
2023-02-13,Vergalhão de Aço,2023,2,Meio_Mes,0,54.94,48.39,150.7,124.3,1811,243
2023-02-14,Vergalhão de Aço,2023,2,Meio_Mes,1,56.97,54.8,146.9,130.8,1071,187
2023-02-15,Vergalhão de Aço,2023,2,Meio_Mes,2,57.26,65.43,151.9,134.8,1652,96
2023-02-16,Vergalhão de Aço,2023,2,Meio_Mes,3,55.96,50.55,118.7,130.4,1813,198
2023-02-17,Vergalhão de Aço,2023,2,Meio_Mes,4,57.02,48.56,126.6,128.5,817,228
2023-02-18,Vergalhão de Aço,2023,2,Meio_Mes,5,58.71,62.53,142.9,132.6,902,44
2023-02-19,Vergalhão de Aço,2023,2,Meio_Mes,6,55.64,53.27,145.4,131.5,1607,66
2023-02-20,Vergalhão de Aço,2023,2,Meio_Mes,0,57.73,61.6,151.7,128.7,1367,127
2023-02-21,Vergalhão de Aço,2023,2,Fim_Mes,1,56.41,52.89,135.1,131.7,929,150
2023-02-22,Vergalhão de Aço,2023,2,Fim_Mes,2,56.58,64.75,129.9,136.1,1452,78
2023-02-23,Vergalhão de Aço,2023,2,Fim_Mes,3,56.66,58.95,127.3,134.6,1264,109
2023-02-24,Vergalhão de Aço,2023,2,Fim_Mes,4,57.31,54.02,114.6,133.7,632,124
2023-02-25,Vergalhão de Aço,2023,2,Fim_Mes,5,55.45,64.34,99.7,133.6,1887,27
2023-02-26,Vergalhão de Aço,2023,2,Fim_Mes,6,56.34,48.18,97.3,132.7,1853,74
2023-02-27,Vergalhão de Aço,2023,2,Fim_Mes,0,57.07,66.66,98.4,132.8,1751,68
2023-02-28,Vergalhão de Aço,2023,2,Fim_Mes,1,55.61,62.89,90.0,134.0,1027,65
2023-03-01,Vergalhão de Aço,2023,3,Inicio_Mes,2,56.72,65.73,77.9,134.6,1539,125
2023-03-02,Vergalhão de Aço,2023,3,Inicio_Mes,3,55.5,58.44,84.6,132.1,1936,177
2023-03-03,Vergalhão de Aço,2023,3,Inicio_Mes,4,56.48,64.36,94.3,132.3,1600,118
2023-03-04,Vergalhão de Aço,2023,3,Inicio_Mes,5,57.54,55.74,93.4,129.8,996,96
2023-03-05,Vergalhão de Aço,2023,3,Inicio_Mes,6,56.89,64.63,103.3,129.8,1832,52
2023-03-06,Vergalhão de Aço,2023,3,Inicio_Mes,0,56.84,63.29,100.1,124.4,1477,195
2023-03-07,Vergalhão de Aço,2023,3,Inicio_Mes,1,57.27,65.5,118.3,126.6,1056,150
2023-03-08,Vergalhão de Aço,2023,3,Inicio_Mes,2,55.35,57.61,130.4,128.4,648,201
2023-03-09,Vergalhão de Aço,2023,3,Inicio_Mes,3,58.63,55.38,141.3,126.1,1397,242
2023-03-10,Vergalhão de Aço,2023,3,Inicio_Mes,4,55.56,49.56,150.6,129.1,1305,323
2023-03-11,Vergalhão de Aço,2023,3,Meio_Mes,5,55.24,58.31,179.9,128.9,715,54
2023-03-12,Vergalhão de Aço,2023,3,Meio_Mes,6,56.0,57.59,173.9,126.0,1460,48
2023-03-13,Vergalhão de Aço,2023,3,Meio_Mes,0,53.7,59.74,173.3,123.8,965,125
2023-03-14,Vergalhão de Aço,2023,3,Meio_Mes,1,54.97,47.18,163.3,127.1,1899,308
2023-03-15,Vergalhão de Aço,2023,3,Meio_Mes,2,56.3,55.45,185.9,136.6,833,203
2023-03-16,Vergalhão de Aço,2023,3,Meio_Mes,3,55.17,56.89,186.1,135.3,1564,140
2023-03-17,Vergalhão de Aço,2023,3,Meio_Mes,4,54.25,63.21,171.6,133.7,1596,98
2023-03-18,Vergalhão de Aço,2023,3,Meio_Mes,5,57.83,57.16,139.4,133.8,934,71
2023-03-19,Vergalhão de Aço,2023,3,Meio_Mes,6,56.84,48.58,141.9,129.5,756,93
2023-03-20,Vergalhão de Aço,2023,3,Meio_Mes,0,55.87,56.23,148.3,125.0,732,186
2023-03-21,Vergalhão de Aço,2023,3,Fim_Mes,1,51.81,47.0,157.0,129.8,1185,198
2023-03-22,Vergalhão de Aço,2023,3,Fim_Mes,2,57.0,60.4,141.3,134.2,661,104
2023-03-23,Vergalhão de Aço,2023,3,Fim_Mes,3,56.71,57.62,127.1,133.4,1756,110
2023-03-24,Vergalhão de Aço,2023,3,Fim_Mes,4,54.01,47.17,122.9,132.1,1467,210
2023-03-25,Vergalhão de Aço,2023,3,Fim_Mes,5,55.06,63.88,138.9,136.5,1376,23
2023-03-26,Vergalhão de Aço,2023,3,Fim_Mes,6,56.62,56.69,132.0,133.6,1336,36
2023-03-27,Vergalhão de Aço,2023,3,Fim_Mes,0,54.66,63.8,123.9,130.7,1822,87
2023-03-28,Vergalhão de Aço,2023,3,Fim_Mes,1,55.04,48.08,109.7,132.7,1030,228
2023-03-29,Vergalhão de Aço,2023,3,Fim_Mes,2,54.01,48.01,114.0,137.8,1540,229
2023-03-30,Vergalhão de Aço,2023,3,Fim_Mes,3,55.53,60.67,131.9,143.2,1684,96
2023-03-31,Vergalhão de Aço,2023,3,Fim_Mes,4,53.57,58.8,129.9,144.2,1689,87
2023-04-01,Vergalhão de Aço,2023,4,Inicio_Mes,5,54.36,52.88,112.3,142.9,1648,104
2023-04-02,Vergalhão de Aço,2023,4,Inicio_Mes,6,54.88,62.19,123.9,140.5,1179,56
2023-04-03,Vergalhão de Aço,2023,4,Inicio_Mes,0,55.09,48.7,126.7,138.4,1818,451
2023-04-04,Vergalhão de Aço,2023,4,Inicio_Mes,1,55.52,53.06,178.7,150.3,1808,343
2023-04-05,Vergalhão de Aço,2023,4,Inicio_Mes,2,54.37,63.27,195.1,160.0,1374,161
2023-04-06,Vergalhão de Aço,2023,4,Inicio_Mes,3,53.05,50.23,185.4,158.8,1043,330
2023-04-07,Vergalhão de Aço,2023,4,Inicio_Mes,4,55.09,61.22,218.9,164.8,1665,180
2023-04-08,Vergalhão de Aço,2023,4,Inicio_Mes,5,53.74,46.7,232.1,164.1,1341,142
2023-04-09,Vergalhão de Aço,2023,4,Inicio_Mes,6,54.72,52.85,237.6,160.8,758,104
2023-04-10,Vergalhão de Aço,2023,4,Inicio_Mes,0,54.02,56.94,244.4,153.5,736,233
2023-04-11,Vergalhão de Aço,2023,4,Meio_Mes,1,53.75,46.98,213.3,159.5,1709,350
2023-04-12,Vergalhão de Aço,2023,4,Meio_Mes,2,52.89,46.44,214.3,169.5,1931,351
2023-04-13,Vergalhão de Aço,2023,4,Meio_Mes,3,51.75,57.87,241.4,177.1,1878,117
2023-04-14,Vergalhão de Aço,2023,4,Meio_Mes,4,52.45,58.03,211.0,170.7,1353,133
2023-04-15,Vergalhão de Aço,2023,4,Meio_Mes,5,54.06,47.93,204.3,168.4,1265,107
2023-04-16,Vergalhão de Aço,2023,4,Meio_Mes,6,53.03,46.06,199.3,167.3,760,112
2023-04-17,Vergalhão de Aço,2023,4,Meio_Mes,0,53.32,58.45,200.4,167.7,1387,152
2023-04-18,Vergalhão de Aço,2023,4,Meio_Mes,1,52.77,49.83,188.9,170.4,1772,279
2023-04-19,Vergalhão de Aço,2023,4,Meio_Mes,2,53.05,46.38,178.7,176.6,1347,354
2023-04-20,Vergalhão de Aço,2023,4,Meio_Mes,3,52.75,55.79,179.1,182.2,1539,165
2023-04-21,Vergalhão de Aço,2023,4,Fim_Mes,4,54.97,57.32,186.0,181.1,1816,129
2023-04-22,Vergalhão de Aço,2023,4,Fim_Mes,5,54.93,51.72,185.4,182.0,853,64
2023-04-23,Vergalhão de Aço,2023,4,Fim_Mes,6,50.2,52.34,179.3,180.4,704,44
2023-04-24,Vergalhão de Aço,2023,4,Fim_Mes,0,52.79,50.26,169.6,174.9,1698,231
2023-04-25,Vergalhão de Aço,2023,4,Fim_Mes,1,51.38,59.12,180.9,181.8,1710,109
2023-04-26,Vergalhão de Aço,2023,4,Fim_Mes,2,50.85,58.87,156.6,184.3,1769,119
2023-04-27,Vergalhão de Aço,2023,4,Fim_Mes,3,53.48,62.88,123.0,185.3,803,79
2023-04-28,Vergalhão de Aço,2023,4,Fim_Mes,4,50.29,58.84,110.7,180.4,1736,98
2023-04-29,Vergalhão de Aço,2023,4,Fim_Mes,5,51.96,51.28,106.3,176.0,969,71
2023-04-30,Vergalhão de Aço,2023,4,Fim_Mes,6,52.02,57.42,107.3,175.2,1875,40
2023-05-01,Vergalhão de Aço,2023,5,Inicio_Mes,0,51.47,51.4,106.7,173.6,774,348
2023-05-02,Vergalhão de Aço,2023,5,Inicio_Mes,1,52.03,48.15,123.4,181.7,1506,454
2023-05-03,Vergalhão de Aço,2023,5,Inicio_Mes,2,50.19,44.54,172.7,195.0,1506,527
2023-05-04,Vergalhão de Aço,2023,5,Inicio_Mes,3,53.47,54.63,231.0,197.5,1750,281
2023-05-05,Vergalhão de Aço,2023,5,Inicio_Mes,4,53.97,61.49,259.9,195.5,1144,199
2023-05-06,Vergalhão de Aço,2023,5,Inicio_Mes,5,52.39,56.7,274.3,196.7,887,94
2023-05-07,Vergalhão de Aço,2023,5,Inicio_Mes,6,52.79,51.7,277.6,188.9,1190,103
2023-05-08,Vergalhão de Aço,2023,5,Inicio_Mes,0,51.31,52.32,286.6,186.3,1657,327
2023-05-09,Vergalhão de Aço,2023,5,Inicio_Mes,1,53.32,60.5,283.6,192.5,1881,199
2023-05-10,Vergalhão de Aço,2023,5,Inicio_Mes,2,49.69,49.77,247.1,195.6,1923,341
2023-05-11,Vergalhão de Aço,2023,5,Meio_Mes,3,49.26,52.17,220.6,199.2,924,187
2023-05-12,Vergalhão de Aço,2023,5,Meio_Mes,4,51.86,47.19,207.1,193.8,1066,313
2023-05-13,Vergalhão de Aço,2023,5,Meio_Mes,5,51.36,54.97,223.4,192.5,832,74
2023-05-14,Vergalhão de Aço,2023,5,Meio_Mes,6,50.83,46.17,220.6,191.1,719,109
2023-05-15,Vergalhão de Aço,2023,5,Meio_Mes,0,51.27,47.07,221.4,190.3,1091,346
2023-05-16,Vergalhão de Aço,2023,5,Meio_Mes,1,53.48,46.15,224.1,198.3,1679,433
2023-05-17,Vergalhão de Aço,2023,5,Meio_Mes,2,50.59,57.59,257.6,209.0,1843,163
2023-05-18,Vergalhão de Aço,2023,5,Meio_Mes,3,51.21,57.15,232.1,209.3,1610,151
2023-05-19,Vergalhão de Aço,2023,5,Meio_Mes,4,50.74,49.33,227.0,205.1,1254,252
2023-05-20,Vergalhão de Aço,2023,5,Meio_Mes,5,49.67,49.8,218.3,201.7,1609,96
2023-05-21,Vergalhão de Aço,2023,5,Fim_Mes,6,51.93,52.91,221.4,199.4,1318,66
2023-05-22,Vergalhão de Aço,2023,5,Fim_Mes,0,51.16,52.48,215.3,197.3,927,184
2023-05-23,Vergalhão de Aço,2023,5,Fim_Mes,1,50.48,43.24,192.1,201.3,1034,341
2023-05-24,Vergalhão de Aço,2023,5,Fim_Mes,2,50.61,45.02,179.0,211.2,1802,305
2023-05-25,Vergalhão de Aço,2023,5,Fim_Mes,3,53.13,59.0,199.3,213.6,1272,133
2023-05-26,Vergalhão de Aço,2023,5,Fim_Mes,4,51.4,53.64,196.7,214.4,1606,151
2023-05-27,Vergalhão de Aço,2023,5,Fim_Mes,5,50.21,47.38,182.3,215.5,1090,81
2023-05-28,Vergalhão de Aço,2023,5,Fim_Mes,6,52.35,50.65,180.1,215.6,1931,93
2023-05-29,Vergalhão de Aço,2023,5,Fim_Mes,0,49.86,44.06,184.0,215.4,806,325
2023-05-30,Vergalhão de Aço,2023,5,Fim_Mes,1,50.68,46.2,204.1,223.9,984,286
2023-05-31,Vergalhão de Aço,2023,5,Fim_Mes,2,51.46,50.71,196.3,232.1,1926,215
2023-06-01,Vergalhão de Aço,2023,6,Inicio_Mes,3,51.18,59.88,183.4,227.6,1768,174
2023-06-02,Vergalhão de Aço,2023,6,Inicio_Mes,4,50.84,46.08,189.3,218.3,1502,477
2023-06-03,Vergalhão de Aço,2023,6,Inicio_Mes,5,51.61,53.6,235.9,216.6,977,113
2023-06-04,Vergalhão de Aço,2023,6,Inicio_Mes,6,50.82,48.63,240.4,211.0,1174,148
2023-06-05,Vergalhão de Aço,2023,6,Inicio_Mes,0,49.82,44.23,248.3,209.3,1424,571
2023-06-06,Vergalhão de Aço,2023,6,Inicio_Mes,1,52.3,47.12,283.4,225.2,1249,529
2023-06-07,Vergalhão de Aço,2023,6,Inicio_Mes,2,50.95,48.97,318.1,239.4,781,436
2023-06-08,Vergalhão de Aço,2023,6,Inicio_Mes,3,52.79,49.31,349.7,243.1,1520,420
2023-06-09,Vergalhão de Aço,2023,6,Inicio_Mes,4,52.33,52.62,384.9,250.4,1155,342
2023-06-10,Vergalhão de Aço,2023,6,Inicio_Mes,5,52.43,58.94,365.6,250.5,1902,76
2023-06-11,Vergalhão de Aço,2023,6,Meio_Mes,6,52.26,60.6,360.3,246.8,844,47
2023-06-12,Vergalhão de Aço,2023,6,Meio_Mes,0,52.01,54.07,345.9,237.9,1736,253
2023-06-13,Vergalhão de Aço,2023,6,Meio_Mes,1,52.34,47.97,300.4,243.9,820,390
2023-06-14,Vergalhão de Aço,2023,6,Meio_Mes,2,52.46,56.11,280.6,253.2,1306,224
2023-06-15,Vergalhão de Aço,2023,6,Meio_Mes,3,53.04,51.95,250.3,249.2,1702,275
2023-06-16,Vergalhão de Aço,2023,6,Meio_Mes,4,49.96,50.09,229.6,243.9,1006,246
2023-06-17,Vergalhão de Aço,2023,6,Meio_Mes,5,52.25,48.42,215.9,246.7,1814,137
2023-06-18,Vergalhão de Aço,2023,6,Meio_Mes,6,53.19,61.12,224.6,246.2,1442,35
2023-06-19,Vergalhão de Aço,2023,6,Meio_Mes,0,50.77,45.49,222.9,239.0,1671,437
2023-06-20,Vergalhão de Aço,2023,6,Meio_Mes,1,53.12,60.82,249.1,250.3,1664,194
2023-06-21,Vergalhão de Aço,2023,6,Fim_Mes,2,52.02,48.48,221.1,254.6,1604,292
2023-06-22,Vergalhão de Aço,2023,6,Fim_Mes,3,52.67,58.02,230.9,258.2,1783,139
2023-06-23,Vergalhão de Aço,2023,6,Fim_Mes,4,53.79,47.69,211.4,251.5,1742,306
2023-06-24,Vergalhão de Aço,2023,6,Fim_Mes,5,52.45,58.38,220.0,251.5,802,41
2023-06-25,Vergalhão de Aço,2023,6,Fim_Mes,6,53.64,58.34,206.3,248.4,1465,46
2023-06-26,Vergalhão de Aço,2023,6,Fim_Mes,0,53.35,49.78,207.9,244.9,1066,315
2023-06-27,Vergalhão de Aço,2023,6,Fim_Mes,1,51.07,51.2,190.4,252.7,1878,246
2023-06-28,Vergalhão de Aço,2023,6,Fim_Mes,2,53.38,54.28,197.9,257.8,1425,211
2023-06-29,Vergalhão de Aço,2023,6,Fim_Mes,3,53.28,57.54,186.3,254.0,1845,161
2023-06-30,Vergalhão de Aço,2023,6,Fim_Mes,4,52.39,54.49,189.4,249.9,1419,183
2023-07-01,Vergalhão de Aço,2023,7,Inicio_Mes,5,55.05,63.77,171.9,248.8,1849,67
2023-07-02,Vergalhão de Aço,2023,7,Inicio_Mes,6,52.35,61.51,175.6,245.2,1732,66
2023-07-03,Vergalhão de Aço,2023,7,Inicio_Mes,0,53.57,55.99,178.4,231.5,1138,345
2023-07-04,Vergalhão de Aço,2023,7,Inicio_Mes,1,53.43,59.57,182.7,239.3,606,249
2023-07-05,Vergalhão de Aço,2023,7,Inicio_Mes,2,52.59,54.03,183.1,242.6,1841,343
2023-07-06,Vergalhão de Aço,2023,7,Inicio_Mes,3,52.38,57.27,202.0,235.0,1210,237
2023-07-07,Vergalhão de Aço,2023,7,Inicio_Mes,4,53.59,48.04,212.9,225.3,838,489
2023-07-08,Vergalhão de Aço,2023,7,Inicio_Mes,5,51.04,58.79,256.6,227.1,1089,73
2023-07-09,Vergalhão de Aço,2023,7,Inicio_Mes,6,56.04,47.88,257.4,215.5,1495,224
2023-07-10,Vergalhão de Aço,2023,7,Inicio_Mes,0,53.84,47.28,280.0,211.6,1945,602
2023-07-11,Vergalhão de Aço,2023,7,Meio_Mes,1,57.0,49.71,316.7,229.1,1612,482
2023-07-12,Vergalhão de Aço,2023,7,Meio_Mes,2,54.53,50.04,350.0,243.6,857,406
2023-07-13,Vergalhão de Aço,2023,7,Meio_Mes,3,54.37,56.35,359.0,248.7,688,226
2023-07-14,Vergalhão de Aço,2023,7,Meio_Mes,4,54.22,55.47,357.4,243.2,1195,260
2023-07-15,Vergalhão de Aço,2023,7,Meio_Mes,5,55.93,50.41,324.7,244.4,845,119
2023-07-16,Vergalhão de Aço,2023,7,Meio_Mes,6,53.15,56.47,331.3,239.2,1151,71
2023-07-17,Vergalhão de Aço,2023,7,Meio_Mes,0,55.77,47.9,309.4,233.4,899,515
2023-07-18,Vergalhão de Aço,2023,7,Meio_Mes,1,55.62,47.64,297.0,246.0,740,494
2023-07-19,Vergalhão de Aço,2023,7,Meio_Mes,2,54.36,57.92,298.7,261.3,921,244
2023-07-20,Vergalhão de Aço,2023,7,Meio_Mes,3,54.75,59.59,275.6,254.9,1755,191
2023-07-21,Vergalhão de Aço,2023,7,Fim_Mes,4,54.7,58.55,270.6,254.8,876,176
